id,label,properties
1111,place,latitude,51.7984298,longitude,5.024160800000004,name,Rijswijk
2219,place,latitude,53.2545785,longitude,6.0871065,name,Zandbulten
2885,place,latitude,53.2274219,longitude,5.9752296,name,Veenwoudsterwal
3107,place,latitude,50.9348612,longitude,5.842850099999964,name,No name
101,place,latitude,,longitude,,name,Warlow
154,place,latitude,,longitude,,name,Sembzin
1157,place,latitude,51.7704114,longitude,4.921941899999979,name,Nieuwendijk
675,place,latitude,55.06013901,longitude,8.816792069,name,Vollum
3968,place,latitude,51.9765277,longitude,4.850949,name,Polsbroek
1342,place,latitude,50.9488959,longitude,5.972166199999947,name,No name
1883,place,latitude,51.5703451,longitude,4.4074783,name,Kruisland
3838,place,latitude,51.2783749,longitude,6.0238697,name,Kessel-Eik
4058,place,latitude,51.998047,longitude,4.77735949999999,name,Haastrecht
808,place,latitude,55.74366106,longitude,11.42615124,name,Vallekilde
1779,place,latitude,51.9273544,longitude,4.8077745,name,Ammerstol
466,place,latitude,56.8216214,longitude,9.74889991,name,Ersted
1334,place,latitude,51.9581446,longitude,5.882607900000039,name,Arnhem
1263,place,latitude,51.9476422,longitude,5.2879361000000245,name,Beusichem
4040,place,latitude,52.0177649,longitude,5.04030030000001,name,IJsselstein
199,place,latitude,,longitude,,name,Zepelin
3337,place,latitude,51.5038039,longitude,5.7800695,name,Milheeze
3782,place,latitude,51.8324299,longitude,4.8336405,name,Hardinxveld-Giessendam
832,place,latitude,55.23357245,longitude,11.58779896,name,Marvede
1943,place,latitude,53.1615492,longitude,6.1460059,name,Boelenslaan
2034,place,latitude,53.201959,longitude,6.1111271,name,Drogeham
2098,place,latitude,51.9294445,longitude,6.076959,name,Zevenaar
1239,place,latitude,52.0013657,longitude,5.133614399999942,name,Tull en Het Waal
61,place,latitude,,longitude,,name,Neuhof
1543,place,latitude,52.3514479,longitude,6.854093400000011,name,Weerselo
3857,place,latitude,51.2926693,longitude,6.054003599999987,name,Kessel
3947,place,latitude,51.3322854,longitude,3.832426499999997,name,Terneuzen
2548,place,latitude,51.5317535,longitude,6.1089177,name,Blitterswijck
1343,place,latitude,50.9539439,longitude,5.940024600000015,name,No name
1802,place,latitude,51.8098893,longitude,5.1790214,name,Nieuwaal
2406,place,latitude,52.9174277,longitude,5.8318126,name,Rohel
3894,place,latitude,51.2559616,longitude,6.019833299999959,name,Beesel
3345,place,latitude,51.8125626,longitude,5.837226399999963,name,Nijmegen
4081,place,latitude,51.7481635,longitude,5.2227623,name,Ammerzoden
861,place,latitude,55.76203412,longitude,12.571205852,name,Charlottenlund
1488,place,latitude,52.0311654,longitude,4.931637599999931,name,Montfoort
1946,place,latitude,51.13123,longitude,5.8456817,name,Stevensweert
2065,place,latitude,52.0278426,longitude,5.1630019,name,Houten
4023,place,latitude,51.9022201,longitude,4.164652400000023,name,Brielle
893,place,latitude,53.1406092,longitude,6.0262654,name,Nijega
1350,place,latitude,50.8659457,longitude,6.070548599999938,name,Kerkrade
3987,place,latitude,51.9856471,longitude,4.5056758000001,name,Bergschenhoek
1034,place,latitude,51.8176296,longitude,5.21162419999996,name,Haaften
251,place,latitude,,longitude,,name,Wolfshagen
177,place,latitude,,longitude,,name,Banzkow
1583,place,latitude,51.362963,longitude,5.2136395,name,Bladel
1967,place,latitude,53.0925814,longitude,6.0586373,name,Drachten
1521,place,latitude,52.3732628,longitude,6.76364250000006,name,Albergen
2977,place,latitude,51.6021331,longitude,5.2267124,name,Haaren
3232,place,latitude,51.4707015,longitude,4.6623558,name,Zundert
491,place,latitude,56.1539,longitude,9.68866011,name,Hårup ved Silkeborg
4225,place,latitude,51.994333,longitude,5.97769389999996,name,Velp
415,place,latitude,55.11730256,longitude,8.806245463,name,Døstrup Sønderjylland
228,place,latitude,,longitude,,name,Weitendorf
733,place,latitude,57.38471485,longitude,10.11557169,name,Sæsing
650,place,latitude,54.98462945,longitude,12.48500029,name,Magleby Møe
3781,place,latitude,51.8248681,longitude,4.7731624,name,Sliedrecht
4024,place,latitude,51.902582,longitude,4.1636846000000105,name,Brielle
117,place,latitude,,longitude,,name,Lüblow
1452,place,latitude,51.7846183,longitude,5.078879499999971,name,Poederoijen
1616,place,latitude,51.6015073,longitude,5.6062082,name,Erp
4073,place,latitude,51.7444609,longitude,5.20496600000001,name,Well
32,place,latitude,,longitude,,name,Heiligendamm
1750,place,latitude,52.9386406,longitude,6.1307136000000355,name,Oldeberkoop
2970,place,latitude,51.560596,longitude,5.0919143,name,Tilburg
4226,place,latitude,51.994333,longitude,5.9776939,name,Velp
1407,place,latitude,51.6460635,longitude,4.607522600000038,name,Zevenbergen
1907,place,latitude,52.9925,longitude,5.548611,name,Oudega
3660,place,latitude,51.424359,longitude,5.4118703,name,Veldhoven
159,place,latitude,,longitude,,name,Wustrow
3909,place,latitude,51.441642,longitude,5.469722499999989,name,Eindhoven
2456,place,latitude,53.2740397,longitude,5.9950072,name,Broeksterwald
1898,place,latitude,51.6872115,longitude,4.28113,name,Achthuizen
53,place,latitude,,longitude,,name,Loosen
