id,label,properties
15133,date,datetime,1969-04-17
26130,date,datetime,1934-07-06
10162,date,datetime,1963-10-30
13702,date,datetime,1968-02-22
13562,date,datetime,1967-12-12
21289,date,datetime,2007-05-22
26984,date,datetime,1911-01-02
21138,date,datetime,1962-12-15
14904,date,datetime,1969-02-26
19833,date,datetime,1962-09-29
14222,date,datetime,1968-07-23
24465,date,datetime,1963-06-28
11793,date,datetime,1963-02-18
15088,date,datetime,1969-03-25
20974,date,datetime,1715-01-01
10332,date,datetime,1963-12-14
13964,date,datetime,1968-03-25
12655,date,datetime,1966-12-04
18321,date,datetime,1974-03-21
9818,date,datetime,1963-09-28
25346,date,datetime,1915-12-26
12180,date,datetime,1966-07-03
18336,date,datetime,1974-03-27
14257,date,datetime,1968-08-04
24015,date,datetime,1962-12-27
12426,date,datetime,1966-10-01
16233,date,datetime,1979-09-15
24496,date,datetime,1963-07-27
9985,date,datetime,1954-07-22
15896,date,datetime,1974-07-30
13625,date,datetime,1963-07-26
207,date,datetime,1925-09-03
26312,date,datetime,1912-07-09
14891,date,datetime,1969-02-15
16205,date,datetime,1979-07-05
24593,date,datetime,1963-08-09
12445,date,datetime,1999-05-11
24260,date,datetime,1963-01-18
9660,date,datetime,1963-09-02
24131,date,datetime,1963-01-09
8721,date,datetime,1974-04-10
23310,date,datetime,1962-11-30
9765,date,datetime,1963-09-19
11206,date,datetime,1978-10-19
20487,date,datetime,1966-03-26
26346,date,datetime,1922-10-28
9053,date,datetime,1966-01-19
9978,date,datetime,1955-08-04
12229,date,datetime,1966-07-25
15122,date,datetime,1969-01-01
15852,date,datetime,1974-07-03
13208,date,datetime,1967-07-21
20879,date,datetime,1965-05-13
14800,date,datetime,1969-01-02
26904,date,datetime,1910-03-27
15375,date,datetime,1969-05-30
20236,date,datetime,1965-07-05
26285,date,datetime,1911-09-27
15630,date,datetime,1969-10-19
17731,date,datetime,1973-03-22
26306,date,datetime,1937-05-17
24171,date,datetime,1963-01-11
16080,date,datetime,1974-09-16
16516,date,datetime,1971-07-20
12282,date,datetime,1966-04-29
15486,date,datetime,1969-10-02
15638,date,datetime,1969-11-10
16453,date,datetime,1970-10-10
19237,date,datetime,1967-02-22
25757,date,datetime,1929-09-10
13019,date,datetime,1966-12-03
20219,date,datetime,1963-04-02
21895,date,datetime,2007-10-29
19606,date,datetime,2006-08-03
26355,date,datetime,1922-10-25
16717,date,datetime,1972-09-14
21500,date,datetime,1962-05-22
8953,date,datetime,1966-01-15
9532,date,datetime,1980-01-01
16570,date,datetime,1971-09-08
11238,date,datetime,1894-07-01
15537,date,datetime,1969-10-22
20838,date,datetime,1595-01-01
11047,date,datetime,1980-11-04
17955,date,datetime,1973-04-05
14771,date,datetime,1969-12-20
25834,date,datetime,1935-06-18
18018,date,datetime,1973-05-12
18719,date,datetime,1916-01-01
16655,date,datetime,1972-10-02
21493,date,datetime,1962-05-21
16035,date,datetime,1974-08-22
20690,date,datetime,2007-02-15
22759,date,datetime,2010-08-24
15578,date,datetime,1969-10-13
21273,date,datetime,1967-03-03
16627,date,datetime,1972-06-01
291,date,datetime,1891-01-01
9442,date,datetime,1963-08-21
15736,date,datetime,1974-04-25
15776,date,datetime,1974-06-20
23204,date,datetime,1968-01-13
9609,date,datetime,1963-08-27
12329,date,datetime,1966-08-20
16701,date,datetime,1972-06-06
12620,date,datetime,1966-12-13
12861,date,datetime,1966-09-05
15604,date,datetime,1969-10-21
9196,date,datetime,1977-11-24
16762,date,datetime,1894-02-01
24793,date,datetime,1901-10-02
11080,date,datetime,1983-07-26
26161,date,datetime,1912-09-29
26771,date,datetime,1937-06-27
