id,label,properties
7250,person,name,L  F  Lauridsen
7942,person,name,Nielsen  Hans
3189,person,name,Mette Marie Povlsdatter
7667,person,name,Thomsen  Jens Thorvald
1057,person,name,Peder Frøsig
1915,person,name,Lærer Urban Hansen
1808,person,name,F Wennerwald
6972,person,name,Jessen  Anders
6896,person,name,Lærer Jensen
7840,person,name,Klavsen  Niels
4852,person,name,Hjalmar Svendsen
1717,person,name,Johanne Katrine Madsdatter
6002,person,name,Hansen  Hans Kr
5693,person,name,Lærer N T Gram
8406,person,name,Thaysen  R
2994,person,name,H  Th  Nybo
6871,person,name,Lærer Andersen
7586,person,name,Larsen  Kristen
2087,person,name,Severin  Vejersøe
4782,person,name,Lærer Gerhard Peter Andersen
4846,person,name,Karl Axelsen
3409,person,name,Ingeborg Movritsdatter
408,person,name,Pastor Jessen
1875,person,name,Anders Udesen
2371,person,name,Lærer Villadsen
1183,person,name,Jørgen Jørgensen
7450,person,name,Petersen
552,person,name,Anders Blak
3832,person,name,Peder Sø
4566,person,name,Mathilde Kofod
7327,person,name,Gartner J P Johansen
3792,person,name,L  P  Lavrsen
1570,person,name,Jens Andersen
5756,person,name,Lars Spillemand
7018,person,name,Sem J P Jensen
8180,person,name,Kristen Jensen Stendet
5979,person,name,Jutta Jørgensen
2178,person,name,Else og Maren Dissing
2884,person,name,N J Termansen
7414,person,name,Overgaard  P Kr Sørensen
5685,person,name,R N Sørensen
5294,person,name,Maren Knudsdatter
897,person,name,Mariane Jensdatter
1596,person,name,Maren Sørensdatter
7518,person,name,Jensen  O P
7658,person,name,Andersen  Mikkel
113,person,name,Lærerinde Lovise Hansen
6759,person,name,Annette Jensen
7302,person,name,Gjedsig  Jens Sørensen
91,person,name,Lærer Mads Hansen
334,person,name,Knudsen  Mads
8323,person,name,Kristensen  Sidsel Marie
756,person,name,Nik  Christensen
2006,person,name,Jørgensen  Thomas
2811,person,name,Chr  Weiss
4980,person,name,Kirstine Madsdatter
5970,person,name,Morten Rosenkjær
2956,person,name,Seminarist Holmsø
7949,person,name,Kjellerup  Chr
908,person,name,Lærer J Jacobsen
1944,person,name,Lærer Christen Hørdum
6390,person,name,H  J  Levinsen
6483,person,name,Niels Krist Nielsen Tybo
4679,person,name,Lovise Sørensdatter
4939,person,name,A  J  Gothenborg
5866,person,name,Peter Schultz
6473,person,name,Jensen  Jens
1439,person,name,A  C  Poulsen
3962,person,name,Jakob Snedker
6624,person,name,A  Antonsen
7494,person,name,Karl Krist Hansen
7904,person,name,Søren Andersen
5158,person,name,Hans Tyrrestrups kone
5927,person,name,Kristian Andersen
7232,person,name,Hans Rasmussen
2037,person,name,Jørgen Villadsen
2633,person,name,Peder Navntoft
4634,person,name,Ane Lavrsdatter
3492,person,name,Gustav Bang
4423,person,name,Lærer H Petersen
2190,person,name,Elev J K Andersen
5821,person,name,Jens Andersen Favrholt
7297,person,name,Søren Krist Jensen
3684,person,name,A Sørensen
4805,person,name,Maren Kristensdatter
1392,person,name,Lærer R Pedersen
5223,person,name,Mariane Kristoffersdatter
6262,person,name,Ane Sofie Jensen
3038,person,name,N  O  Nielsen
6693,person,name,Mette Katrine Hansen
7756,person,name,Andreas Jensen
1227,person,name,Knud Andersen
3530,person,name,Niels Jensen Thomsen
4550,person,name,Peder Svendsgård
5126,person,name,Kristiane Mogensdatter
5142,person,name,A Chr Sørensen
5444,person,name,Frederik Poulsen
7733,person,name,Niels Frederiksen
6446,person,name,Hans Jørgen Poulsen
983,person,name,Søren Hansen
6208,person,name,N  Madsen-Vorgod
3770,person,name,L  Chr  Pedersen
4054,person,name,Komtesse Charlotte Knuth
7190,person,name,J  Lassen
3247,person,name,M C Nielsen
7501,person,name,Fladland  Jakob Kristensen
